Country	Number	Frequency	Percentage
NA	1	0.0003497726477789437	0.03497726477789437
Argentina	3	0.001049317943336831	0.1049317943336831
Australia	2	0.0006995452955578874	0.06995452955578874
Austria	11	0.0038474991255683807	0.38474991255683805
Belgium	18	0.0062959076600209865	0.6295907660020986
Brazil	2	0.0006995452955578874	0.06995452955578874
Cameroon	3	0.001049317943336831	0.1049317943336831
Canada	141	0.04931794333683106	4.931794333683106
Central African Republic	14	0.004896817068905212	0.48968170689052115
Colombia	109	0.03812521860790486	3.8125218607904863
Cote d'Ivoire	16	0.005596362364463099	0.5596362364463099
Czech Republic	1	0.0003497726477789437	0.03497726477789437
Democratic Republic of the Congo	96	0.033578174186778595	3.3578174186778593
Egypt	1	0.0003497726477789437	0.03497726477789437
Finland	3	0.001049317943336831	0.1049317943336831
France	25	0.008744316194473592	0.8744316194473591
Gabon	2	0.0006995452955578874	0.06995452955578874
Germany	549	0.19202518363064008	19.20251836306401
India	1	0.0003497726477789437	0.03497726477789437
Ireland	1	0.0003497726477789437	0.03497726477789437
Israel	2	0.0006995452955578874	0.06995452955578874
Italy	10	0.003497726477789437	0.3497726477789437
Mexico	1	0.0003497726477789437	0.03497726477789437
Netherlands	4	0.0013990905911157748	0.13990905911157747
Nigeria	30	0.01049317943336831	1.049317943336831
Peru	10	0.003497726477789437	0.3497726477789437
Portugal	502	0.17558586918502972	17.55858691850297
Republic of the Congo	1	0.0003497726477789437	0.03497726477789437
Sierra Leone	1	0.0003497726477789437	0.03497726477789437
Singapore	1	0.0003497726477789437	0.03497726477789437
Slovenia	46	0.01608954179783141	1.608954179783141
South Africa	2	0.0006995452955578874	0.06995452955578874
Spain	9	0.0031479538300104933	0.3147953830010493
Sudan	1	0.0003497726477789437	0.03497726477789437
Switzerland	6	0.002098635886673662	0.2098635886673662
Taiwan	2	0.0006995452955578874	0.06995452955578874
USA	916	0.3203917453655124	32.03917453655124
United Kingdom	314	0.10982861140258832	10.982861140258832
Zaire	2	0.0006995452955578874	0.06995452955578874
