Lineages	Number	Frequency	Percentage
A	14	0.004896817068905212	0.48968170689052115
A.1	14	0.004896817068905212	0.48968170689052115
A.1.1	2	0.0006995452955578874	0.06995452955578874
A.2	4	0.0013990905911157748	0.13990905911157747
A.2.1	5	0.0017488632388947185	0.17488632388947184
A.2.2	2	0.0006995452955578874	0.06995452955578874
A.2.3	2	0.0006995452955578874	0.06995452955578874
A.3	5	0.0017488632388947185	0.17488632388947184
B.1	1467	0.5131164742917104	51.31164742917104
B.1.1	199	0.0696047569080098	6.96047569080098
B.1.10	69	0.024134312696747113	2.413431269674711
B.1.11	104	0.03637635536901014	3.6376355369010143
B.1.12	19	0.00664568030779993	0.6645680307799929
B.1.13	49	0.01713885974116824	1.713885974116824
B.1.14	30	0.01049317943336831	1.049317943336831
B.1.2	209	0.07310248338579924	7.310248338579924
B.1.3	124	0.04337180832458902	4.337180832458902
B.1.4	67	0.023434767401189226	2.3434767401189225
B.1.5	44	0.015389996502273523	1.5389996502273522
B.1.6	10	0.003497726477789437	0.3497726477789437
B.1.7	157	0.05491430570129416	5.491430570129416
B.1.8	69	0.024134312696747113	2.413431269674711
B.1.9	44	0.015389996502273523	1.5389996502273522
